SYNTAX	DESCRIPTION	CLASS	TYPE	GROUP	CATEGORY	KEYWORDS	TIO	DOCS
Iv↑Ys	Padding Ys to shape Iv	Primitive	Dyadic Function		Structural	extend text string	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOrTdSMFZ41DZRwfz/fwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/take/
⍴Y	Shape: Length of each axis of Y	Primitive	Monadic Function		Array Properties	dimensions rho ρ ϱ rank axes	https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSQE5CsApZG4mCIK6pX5pUUKSfmJJerIwuZousz//wcA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/shape/
Iv⍴Y	Reshape Y to have shape Iv	Primitive	Dyadic Function		Structural	cycle rho mold form dimension array ρ ϱ mould dim() axis cyclically repeat repetition repeats repeating take taking elements of	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFIwVTBQe9W5RMISyTRXMFMz//wcA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/reshape/
*N	e raised to the power N	Primitive	Monadic Function		Mathematical	star asterisk exponential etothepowerof naturalexponential exp() 2.718281828459045235360287471352662 antiln antilog ln^-1() ln⁻¹() log^-1() log⁻¹() lnₑ^-1() lnₑ⁻¹() logₑ^-1() logₑ⁻¹()	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS0FAwUDBWM/v8HAA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/exponential/
M*N	M raised to the power N	Primitive	Dyadic Function		Mathematical	star asterisk raisedtothepowerof exponentiation pow() ** raising ^	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRMLBVMFQ6tN1HQUjDQM1UwApH//wMA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/power/
⍟N	Natural logarithm of N	Primitive	Monadic Function		Mathematical	naturallogarithm circlestar starcircle splat ln() lnₑ() logₑ()	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9c5XMFQwUjBWMNIzN7QwsgBh0///AQ	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/natural-logarithm/
M⍟N	Base-M logarithm of N	Primitive	Dyadic Function		Mathematical	logarithms logs circlestar starcircle splat log() log₁₀()	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFAwNFB71zlcwBrEMDP7/BwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/logarithm/
○N	pi times N	Primitive	Monadic Function		Circular/Trigonometric	pie archimedesconstant 3.141592653589793238462643383279503 π 𝜋 big large ring pythagorean	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQeTe9WMFAwVDD6/x8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/pi-times/
I○N	Circular functions	Primitive	Dyadic Function		Mathematical	trigonometric hyperbolic complex imaginary arcus angle goniometric circle big large ring	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFR5N71YwUDDUMzU3MLc0M1Yw1jM0MTS1NDLngioxIqzEGLeS//8B	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/circular-functions/
~B	Logical inverse (NOT): 0=B	Primitive	Monadic Function		Boolean/Logical	gate tilde logicalnot logicalnegation logicalcomplement ¬ !p Np p′ p' negate inverting	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTqFAwUDEH4/38A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/not/
Xv~Y	Without: (~Xv∊Y)/Xv	Primitive	Dyadic Function		Sets	tilde butnot except setdifference setsubtraction setminus ∖ removing remove delete drop erasing erase eliminate eliminating deleting	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFQwVTIDYVKEOiA25oMLqiYnqCupJSUAiORnKAqqAiFRUqP//DwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-functions/without/
X f⍨Y	Commute (C-combinator): same as Y f X	Primitive	Dyadic Function	Monadic Operator	Function Application	Cardinal-bird switch tildediaeresis swap frown flip left and right arguments larg rarg args	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFB71blEw5kLmPupdoWD8/z8A	https://docs.dyalog.com/20.0/language-reference-guide/primitive-operators/commute/
X f⍨Y	Church Boolean Logical Inverse	Primitive	Dyadic Function	Monadic Operator	Mathematical	~ not logicalnot logicalnegation logicalcomplement ¬ negate inverting	https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUS4pKU9UVHnUtVlBPS8wpTlXnwpB51LsCJvn/PwA	https://docs.dyalog.com/20.0/language-reference-guide/primitive-operators/commute/
Y⍨Z	Constant (K-combinator): ignore argument and return Y	Primitive	Monadic Function	Monadic Operator	Structural	Kestrel-bird tildediaeresis frown replace		https://docs.dyalog.com/20.0/language-reference-guide/primitive-operators/constant/
